Time, sec;Temperature 1, C;Temperature 2, C;Set point, C;Relay 1;Relay 2
714;379.4;124.9;380;0;0
715;379.5;124.9;380;0;0
716;379.4;124.9;380;0;0
717;379.5;124.9;380;0;0
718;379.5;124.9;380;0;0
719;379.5;124.9;380;0;0
720;379.5;124.9;380;0;0
721;379.5;124.9;380;1;0
722;379.5;124.9;380;0;1
723;379.5;124.9;380;0;0
724;379.5;124.9;380;0;0
725;379.5;124.9;380;0;0
726;379.5;124.9;380;0;0
727;379.5;124.9;380;1;0
728;379.5;124.9;380;0;1
729;379.6;124.9;380;0;0
730;379.5;124.9;380;0;0
731;379.6;124.9;380;0;0
732;379.5;124.9;380;0;0
